,Species,H2+CO Selec,Normalized H2+CO Selec,Normalized2 H2+CO Selec,CO Yield,H2 Yield
0,[Pt],-0.000627000662824,-0.00203475976663,-0.0026617731874,0.00028205008677,-0.00203629793003
1,[Pt],0.406789659719,0.572693405634,0.977153407797,1.15545260341,0.473872225099
2,O=[Pt],-0.0043941200211,-0.0146795566736,-0.019074321732,-0.012346669924,-0.0115330715735
3,C[Pt],-0.000926796046042,-0.00283820017037,-0.00376502252073,0.000133772909385,-0.00282745378335
4,O[Pt],0.407920430014,0.576179471382,0.981749547619,1.15530465585,0.477326168364
5,O.[Pt],0.406787935305,0.572691156779,0.977149453552,1.1554496954,0.473869940327
6,O=C=O.[Pt],0.40726558261,0.574117200014,0.979044600864,1.15538468094,0.475298900658
7,O=C=[Pt],0.407291332901,0.574159433112,0.979112264405,1.15533266361,0.475364517329
8,C~[Pt],0.406789367184,0.572692911586,0.977152624899,1.15545333242,0.473871447115
9,C=[Pt],0.407265279751,0.574116684175,0.979043786006,1.15538538875,0.475298092652
10,C#[Pt],-3.26306134989e-08,-1.00993758289e-07,-1.33624368128e-07,-5.64276756317e-09,-9.86190986071e-08
11,C.[Pt],0.407859406204,0.576090385353,0.981600152732,1.15512930074,0.477252524404
12,[H][H].[Pt],0.407265241462,0.574116626516,0.979043690513,1.15538520392,0.47529805317
13,[C-]#[O+].[Pt],0.406861966961,0.573614468884,0.978142616734,1.15542363083,0.474648236316
14,O=C[Pt],0.407918413975,0.576176795944,0.981744878672,1.15529752006,0.477324311043
15,C=C.[Pt],0.407265274508,0.574116681869,0.979043778497,1.15538536934,0.475298092173
16,[CH]C.[Pt],0.40595763076,0.571658512315,0.975295451722,1.15552800276,0.47253307996
